    0.10000E-03    0.35265E+03
    0.10202E-03    0.35950E+03
    0.10408E-03    0.36649E+03
    0.10618E-03    0.37361E+03
    0.10833E-03    0.38087E+03
    0.11052E-03    0.38826E+03
    0.11275E-03    0.39581E+03
    0.11503E-03    0.40349E+03
    0.11735E-03    0.41133E+03
    0.11972E-03    0.41931E+03
    0.12214E-03    0.42745E+03
    0.12461E-03    0.43575E+03
    0.12712E-03    0.44420E+03
    0.12969E-03    0.45282E+03
    0.13231E-03    0.46160E+03
    0.13499E-03    0.47055E+03
    0.13771E-03    0.47967E+03
    0.14049E-03    0.48897E+03
    0.14333E-03    0.49844E+03
    0.14623E-03    0.50810E+03
    0.14918E-03    0.51794E+03
    0.15220E-03    0.52797E+03
    0.15527E-03    0.53819E+03
    0.15841E-03    0.54860E+03
    0.16161E-03    0.55922E+03
    0.16487E-03    0.57003E+03
    0.16820E-03    0.58105E+03
    0.17160E-03    0.59228E+03
    0.17507E-03    0.60372E+03
    0.17860E-03    0.61538E+03
    0.18221E-03    0.62726E+03
    0.18589E-03    0.63936E+03
    0.18965E-03    0.65169E+03
    0.19348E-03    0.66425E+03
    0.19739E-03    0.67705E+03
    0.20138E-03    0.69009E+03
    0.20544E-03    0.70338E+03
    0.20959E-03    0.71691E+03
    0.21383E-03    0.73070E+03
    0.21815E-03    0.74474E+03
    0.22255E-03    0.75905E+03
    0.22705E-03    0.77362E+03
    0.23164E-03    0.78846E+03
    0.23632E-03    0.80358E+03
    0.24109E-03    0.81897E+03
    0.24596E-03    0.83465E+03
    0.25093E-03    0.85062E+03
    0.25600E-03    0.86687E+03
    0.26117E-03    0.88343E+03
    0.26645E-03    0.90029E+03
    0.27183E-03    0.91746E+03
    0.27732E-03    0.93493E+03
    0.28292E-03    0.95273E+03
    0.28864E-03    0.97084E+03
    0.29447E-03    0.98928E+03
    0.30042E-03    0.10080E+04
    0.30649E-03    0.10271E+04
    0.31268E-03    0.10466E+04
    0.31899E-03    0.10664E+04
    0.32544E-03    0.10865E+04
    0.33201E-03    0.11070E+04
    0.33872E-03    0.11278E+04
    0.34556E-03    0.11491E+04
    0.35254E-03    0.11706E+04
    0.35966E-03    0.11926E+04
    0.36693E-03    0.12149E+04
    0.37434E-03    0.12376E+04
    0.38190E-03    0.12607E+04
    0.38962E-03    0.12842E+04
    0.39749E-03    0.13080E+04
    0.40552E-03    0.13323E+04
    0.41371E-03    0.13569E+04
    0.42207E-03    0.13820E+04
    0.43060E-03    0.14075E+04
    0.43929E-03    0.14334E+04
    0.44817E-03    0.14596E+04
    0.45722E-03    0.14863E+04
    0.46646E-03    0.15135E+04
    0.47588E-03    0.15410E+04
    0.48550E-03    0.15690E+04
    0.49530E-03    0.15973E+04
    0.50531E-03    0.16262E+04
    0.51552E-03    0.16554E+04
    0.52593E-03    0.16850E+04
    0.53656E-03    0.17151E+04
    0.54739E-03    0.17456E+04
    0.55845E-03    0.17766E+04
    0.56973E-03    0.18079E+04
    0.58124E-03    0.18397E+04
    0.59299E-03    0.18719E+04
    0.60496E-03    0.19045E+04
    0.61719E-03    0.19375E+04
    0.62965E-03    0.19710E+04
    0.64237E-03    0.20048E+04
    0.65535E-03    0.20390E+04
    0.66859E-03    0.20736E+04
    0.68210E-03    0.21086E+04
    0.69588E-03    0.21440E+04
    0.70993E-03    0.21797E+04
    0.72427E-03    0.22158E+04
    0.73891E-03    0.22522E+04
    0.75383E-03    0.22890E+04
    0.76906E-03    0.23261E+04
    0.78460E-03    0.23635E+04
